word;n;pos
Κύλληνόν;1;proper
Κύπιδος;1;proper
Κυταίου;1;proper
Κυταιίδα;1;proper
Λ’γκαῖος;1;proper
Λ’λκίνοος;1;proper
Λ’μβρακιήων;1;proper
Λ’πόλλωνος;1;proper
Λ’θήνην;1;proper
Λ’ργώ;1;proper
Λ’ρήτη;1;proper
Λ’ρκτων;1;proper
Λακερείῃ;1;proper
Λαμπείης;1;proper
Λέρνον;1;proper
Λεώδοκος;1;proper
Λημνιάδες;1;proper
Λημνιάδεσσιν;1;proper
Λημνιάδων;1;proper
Λημνιὰς;1;proper
Λἰακίδαο;1;proper
Λἰγαίωνος;1;proper
Λἰήταο;1;proper
Λἰνήιος;1;proper
Λἰσήποιο;1;proper
Λἰσονίδαο;1;proper
Λιγυστίδας;1;proper
Λιλυβηίδα;1;proper
Λὐτίκα;1;proper
Λυκάστιαι;1;proper
Λυκωρείοιο;1;proper
Λυρκήιον;1;proper
Μάγνησά;1;proper
Μακριάδες;1;proper
Μακριδίης;1;proper
Μεγαβρόντην;1;proper
Μεγαλοσσάκεα;1;proper
Μελιτηίου;1;proper
Μενετηίδος;1;proper
Μινυηίδος;1;proper
Μινωίδας;1;proper
Μινωὶς;1;proper
Μυρτώσιον;1;proper
Μυσίδ’;1;proper
Μυσίδα;1;proper
Νάρηκος;1;proper
Νασάμωνα;1;proper
Ναυπλιάδαο;1;proper
Νέστιδος;1;proper
Νεσταίους;1;proper
Νηληίς;1;proper
Νηπήιον;1;proper
Νηῦν;1;proper
Οἰαξίδος;1;proper
Παγασήιος;1;proper
Παγασηίδα;1;proper
Παγασηίδας;1;proper
Παλαιμόνιος;1;proper
Παλλήναια;1;proper
Παραίβιος;1;proper
Πειρεσιὰς;1;proper
Πειρεσιαὶ;1;proper
Πελοπήια;1;proper
Πελοπήιοι;1;proper
Πριόλαο;1;proper
Προμέα;1;proper
Θεμισκύρειαι;1;proper
Θεμισκύρειον;1;proper
Θεραπναῖον;1;proper
Θεστιάδης;1;proper
Θρήιξ;1;proper
Θυνίδι;1;proper
Θυνοὶ;1;proper
Σάπειρας;1;proper
Σάπειρες;1;proper
Σαλαγγῶνος;1;proper
Σαλμωνίδος;1;proper
Σερβωνίδος;1;proper
Σφόδριν;1;proper
Σίγυννοι;1;proper
Σίκινόν;1;proper
Σιφαέα;1;proper
Σικίνου;1;proper
Τιβαρηνίδα;1;proper
Τιβαρηνοὶ;1;proper
Τισαίην;1;proper
Τυφαονίη;1;proper
Υιτυοῖο;1;proper
Υψιπύλην;1;proper
Χαδήσιαι;1;proper
Χαλκωδονίοιο;1;proper
Ζέλυν;1;proper
ἁμαδρυάδος;1;noun
ἄμφθ;1;pronoun
ἄρεσσαν;1;verb
ἀείραο;1;
ἀφειδείως;1;adverb
ἀγέρονται;1;verb
ἀγορευσεν;1;verb
ἀγχίροος;1;adjective
ἀκροχάλιξ;1;adjective
ἀλαλκήσουσιν;1;verb
ἀλίγκιαι;1;adjective
ἀμφιπένοντο;1;verb
ἀμφιρρῶγας;1;adjective
ἀμοιβαδὸν;1;adverb
ἀμσίβων;1;
ἀναβλύεσκε;1;verb
ἀνασταχύεσκον;1;verb
ἀνασταχύουσιν;1;verb
ἀνασταχύωσι;1;verb
ἀναζείουσα;1;verb
ἀνερεψάμενος;1;verb
ἀνήυσεν;1;verb
ἀνηλέες;1;adjective
ἀντεταγὼν;1;verb
